# k (h/Mpc), Delta^2 (mK^2)
# these data are the yellow curve in Fig. 3 of "WHAT NEXT-GENERATION 21 CM POWER SPECTRUM MEASUREMENTS CAN TEACH US ABOUT THE EPOCH OF REIONIZATION"
# they are the z=8 curve (6% ionization) for the model with zeta=31, Tvir=1.5e4, and Rmfp=30Mpc
0.028694144639425073, 0.3111482675613548
0.047508992158860675, 1.08761915741666
0.06841093516161467, 2.6420113933661526
0.09403113003967992, 5.599804245889073
0.1488339406386592, 4.508624102163007
0.2212959129271203, 4.753677800226457
0.3265621627923542, 4.0899299450472215
0.4894823340199656, 3.3645506331036135
0.6893990971736784, 2.8275613891333475
1.001551885111226, 2.602416490958288
1.5602839736266403, 2.8090771617742063
2.230523986626748, 4.246953032436401
3.1144106436596193, 7.863680672824759
