# k (h/Mpc), Delta^2 (mK^2)
# these data are the red curve in the top left panel of Fig. 4 of "WHAT NEXT-GENERATION 21 CM POWER SPECTRUM MEASUREMENTS CAN TEACH US ABOUT THE EPOCH OF REIONIZATION"
# they are the z=7 curve (54% ionization) for the model with zeta=10, Tvir=1.5e4, and Rmfp=30Mpc
0.02967763378985849, 0.6008912298385352
0.04965467420324143, 1.2157184585546974
0.07154670384267706, 3.0121327596091816
0.10512413264697942, 5.9756722925946
0.15596088466315916, 10.50145398569637
0.2408738917176791, 13.356252947252976
0.3638542045102513, 15.989920785129677
0.554544097370701, 15.641259189211002
0.817892309964966, 14.69656188168099
1.2214960429423005, 16.560876149523107
1.8249573877129792, 19.430948832771083
2.6470667767416325, 30.870240106942138
3.52210492521756, 50.06362578455641
